key,value,key_count,value_count
w,100,11248232,1551894
page,1,9105614,1551365
url,,7841785,411129
id,accueil,6804447,232090
language,en,6755432,337244
utm_source,dlvr.it,6580093,809489
utm_medium,twitter,6374973,965878
h,-1,6053411,1338078
lang,fr,5915200,762916
type,widgetJSTracking,5731391,2594776
title,Spesiaal:Teken_in,5668915,333371
q,60,5601388,2353951
rt,nc,5357465,5220363
v,1,5169751,1501354
fit,crop,4881634,3239653
p,i,4480002,601348
utm_campaign,social_sharing,4429673,502433
itok,iBrDRrQD,4289195,244
action,edit,4083361,2225875
trid,70943,4024526,35
trk,cws-fwk-anonymous,3909965,2571976
ref,pagination,3867154,507355
t,,3857330,89001
ixlib,rb-4.0.3,3574705,2545667
auto,format,3378708,3273353
s,1,3296435,1413971
_sop,1,3213222,573274
ixid,M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3189673,189274
do,media,3089346,586938
cid,SLink,3038177,316285
format,xml,2997010,906037
l,english,2855451,109691
width,400,2634099,334083
wt,framework,2594537,2594315
trackingInfo,%7B%7D,2536937,2736
or,https%3A%2F%2Fwindowsitpro.com%2Fsystems-management%2Fbginfo,2526000,12351
image,images,2439757,30772
sw,240,2286857,466094
dpr,2,1938188,1622329
r,US,1913617,170523
clr,black,1835776,208264
height,240,1821685,313964
randomSeed,2135457147,1791372,21364
_dmd,1,1748735,908626
sort,-1,1732521,281489
imwidth,657,1726092,159443
from,,1648889,141237
f,1,1517855,170288
c,0,1502220,649957
utm_content,47843,1446142,150454
order,name,1432357,370853
f%5B0%5D,institution%3A152,1431371,51691
ver,6٫2,1408618,45788
i,1,1404656,888521
t:ac,FS,1389429,8988
swp,sidebar-view-pdf-6,1368581,27749
dv,wsj,1368260,686424
f%5B1%5D,rattachement_ministeriel%3Aaucun,1327212,56784
sh,240,1320140,459343
a,71,1314735,113036
ts,1345845600,1284983,12667
rule,ad-image,1260758,388293
isFramed,false,1256881,1208013
sortby,default,1252760,628704
d,0,1228898,56413
mode,list,1228479,214884
x-kpsdk-v,j-0.0.0,1201206,1201206
x-kpsdk-im,CiQxNjcyODRlMC05MWIyLTRhZjktYjAzOS0xOGY3OWIyZGFjZjQ,1201192,1
aff_fcid,,1185112,2103
f%5B2%5D,rattachement_ministeriel%3Aministere1,1177620,34076
sid,101,1175662,175830
aff_fsk,_ePNSNV,1171372,71952
aff_platform,api-new-link-generate,1170811,433866
aff_trace_key,fd068bd475ec46f08eece63ecc1d4b9a-1601743355403-09341-_dZU6CFR,1169092,638
