value,key,value_count,key_count
1,page,34669377,1551365
,SearchQuery,22459169,961149
0,c,12107963,649957
2,dpr,9648322,1622329
true,modal,5939436,907702
nc,rt,5220769,5220363
equals,filter_relational_operator_0,5181714,412432
3,LH_GD,4816958,669002
fr,lang,3394571,762916
format,auto,3294009,3273353
crop,fit,3267889,3239653
4,page,3168265,458126
en,lang,2901519,418459
false,isFramed,2731303,1208013
widgetJSTracking,type,2594776,2594776
framework,wt,2594401,2594315
10,_sop,2573010,566173
cws-fwk-anonymous,trk,2571976,2571976
rb-4.0.3,ixlib,2548389,2545667
60,q,2521863,2353951
-1,h,2449166,1338078
author,filter_field_8,2437561,124906
edit,action,2352090,2225875
5,page,2266925,362713
subject,field,2172981,199469
twitter,utm_medium,2075756,965878
100,w,2023852,1551894
o,critinit,1986468,597780
7,_sop,1741076,567333
240,sw,1461153,466094
16,_sop,1385134,560614
y,afSmartRedirect,1340570,800107
6,page,1335957,292988
80,quality,1297564,524714
15,_sop,1264635,563080
11,langue,1246310,200336
j-0.0.0,x-kpsdk-v,1201206,1201206
12,_sop,1131575,209029
8,page,1110020,213697
9,page,1109886,162989
400,w,1036526,421479
600,w,1011439,469389
30,q,990475,253795
300,w,952329,316903
xml,format,907773,906037
120,sw,895221,316169
default,sortby,866005,628704
de,lang,851427,370887
AKIAICNEWSPSEKTJ5M3Q,AWSAccessKeyId,837804,837804
200,w,824234,527638
dlvr.it,utm_source,809641,809489
20,num_mess_pp,792279,123533
desc,dir,780606,221661
50,q,772766,120103
authority,filter_type_2,746487,78851
post,utm_medium,726728,230804
Twitter,utm_source,723023,697771
64,h,720536,387074
C,temperature,717167,609587
fra,lang,714484,557640
500,w,714004,424674
i,p,703111,601348
wsj,dv,686436,686424
control,dv,683018,681811
fit,sm,682230,673924
3char,winddirection,658090,658090
5838a18e295d,apikey,657276,657276
eng,lang,656506,529335
25,min,654900,78222
1000,w,641402,389975
getDynamiqueData,method,633376,633376
navigation,tagcontainer,630677,627224
1200,w,628023,553531
en-us,lang,626069,528072
kmh,windspeed,625464,609564
x100,size,624474,624389
jpg,fm,622540,393120
referral,utm_medium,620907,560904
es,lang,620261,153173
mm,precipitationamount,619917,609587
EventList,com,613290,613290
Social,utm_medium,610999,590699
alt,index,607200,606331
media,do,597833,586938
a,p,590814,302194
85,quality,586722,502288
en-US,language,583875,249807
17,geo_continent_label,569037,142885
48,chunksize,565254,269586
all,critic,565091,131689
null,pt,563789,185899
A,DS,559369,212106
clipboard,ref,539474,278835
view,tab_details,537515,398452
dateIssued,filtertype_3,536943,46496
bpeditorial,client_id,529527,529345
18,numperpage,529479,65905
800,w,527048,344548
me_connecter,do,521020,521020
US,r,517696,170523
14,days,516830,81247
21,PT2,514160,197094
96,w,508982,330905
72,pgesize,508792,288052
pagination,ref,507669,507355
89,frz-v,503540,415875
social_sharing,utm_campaign,502585,502433
webp,format,502278,425107
rb-1.2.1,ixlib,499885,499207
QC,cregn,495913,197066
list,mode,494106,214884
KILOMETER_PER_HOUR%2CCELSIUS%2CMILLIMETER,look,489901,489901
asc,dir,484935,172746
json,format,483258,459779
USD,locale_currency_code,473569,122867
liste,liste,470956,288759
T,IR,468985,411377
trend,browsefilter,467819,380985
24,edt,463109,223340
it,lang,461164,135606
0%252D3%2520Months,Size,457566,457566
carte,liste,443189,250523
ouest-france.fr,utm_source,441173,416169
50%2C25,focuspoint,441172,441003
480,width,435664,117320
api-new-link-generate,aff_platform,433866,433866
720,w,433648,410617
flux,emplacement,432771,348613
45,q,431753,233821
Spesiaal%3AGlobalUsage,returnto,428388,428348
js,ln,424009,223185
13,page,422869,55822
feed,utm_source,421507,193142
name,order,417510,370853
files,tab_files,414936,412619
widget,utm_medium,412381,367985
yes,availability,411045,100044
photos,FileName,410097,383115
24,v,408274,357563
31,height,398917,113799
FFFFFF,resumebgcolor,398476,59796
cpa,utm_medium,398313,398243
Fr,Lang,398135,392313
entropy,crop,397657,397578
1%201x,s,397607,397607
1-AQ,x-kpsdk-r,396291,396291
180,height,395010,140405
En,Lang,392158,390908
fill,fit,390718,377777
ad-image,rule,388293,388293
711-53200-19255-0,mkrid,387614,387509
tinysrgb,cs,387606,386419
840,w,384258,374233
ad-thumb,rule,377559,377559
ad-large,rule,375838,375838
letras,page,368483,368480
23,edt,367460,122364
36,pgesize,366591,202821
lanczos-none,interpolation,365579,365579
max,fit,363291,358125
exact1024x768_l,alias,358888,358888
cover,fit,349020,345100
pt,sf_culture,348730,133205
patagos,partner,347451,347448
history,action,345476,171536
32,imwidth,342813,128708
CPS_NORMAL,tt,341521,340515
around|90:65,fit,341221,341221
no,dgvPublication,341137,80843
discount,prix,338336,337711
link,utm_medium,334512,214625
Autofeed,utm_term,333868,333679
Spesiaal:Teken_in,title,333372,333371
jpeg,format,329613,322368
books,catalog,320425,234967
SLink,cid,316286,316285
nl,lang,315983,95851
