segment,count
,3093211.0
images,2887493.0
static,2286813.0
:80,2202820.0
uploads,1695231.0
wp-content,1671202.0
media,1558843.0
it,1228909.0
wiki,1126059.0
news,1087241.0
de,1085606.0
video,981846.0
2024,976357.0
m,968125.0
en,890177.0
photos,876229.0
shop,829278.0
track,807866.0
pt,691639.0
store,690404.0
05,681837.0
2022,620079.0
listing,615654.0
comunicati-stampa,615049.0
forum,606480.0
wp-json,600811.0
files,599804.0
uk,565365.0
album,547737.0
us,535096.0
10,531501.0
04,522309.0
wp,510099.0
03,508354.0
login,500174.0
tag,493563.0
img,493104.0
2023,490369.0
%C3%BCbersetzung,485829.0
js,485165.0
member.php,479997.0
immagini,479800.0
sites,470982.0
embed,463218.0
02,454729.0
12,453692.0
sport,450653.0
amp,450320.0
11,445318.0
books,444761.0
oembed,439404.0
pl,432524.0
api,428062.0
questions,425913.0
aax-eu,423851.0
1.0,423305.0
web,421939.0
shopping,421460.0
09,414728.0
index.php,410512.0
zh,407470.0
01,407197.0
a,402572.0
ja,387262.0
e,386569.0
c8,383064.0
07,381987.0
marketplace,381751.0
06,380366.0
assets,374688.0
2017,369801.0
media-assets,362577.0
pin,357687.0
pmwiki,356839.0
i,347495.0
1,345309.0
imp,340366.0
es,339092.0
08,336435.0
medias,335422.0
image,334528.0
women,332353.0
product,331139.0
ru,329414.0
storia,327219.0
c,324031.0
deputati,321277.0
%E8%A3%BD%E5%93%81,319869.0
cdn,319041.0
biz,313419.0
loi,311863.0
search,309139.0
vuelos,306552.0
posts,304382.0
comp,298787.0
2020,297067.0
2021,295309.0
w,294267.0
2018,291758.0
9,285760.0
thumb,283735.0
tr,279813.0
pub,278051.0
public,274416.0
accounts,271462.0
pics,269970.0
app,269147.0
it-100x100,268692.0
webimages,266853.0
2,265529.0
Special:EntityData,262726.0
t,256456.0
2015,254208.0
THUMB,253032.0
fr,250951.0
version,250473.0
men,243112.0
v2,240797.0
s,239051.0
2014,237988.0
Product,232061.0
cat,230931.0
context,227928.0
2019,227558.0
polnisch-deutsch,227309.0
tours,225104.0
nl,221513.0
%D8%A7%D9%84%D8%AA%D8%B1%D8%AC%D9%85%D8%A9,221474.0
maps,220721.0
prd,217455.0
equities,216234.0
css,214505.0
faccette,213824.0
c7,213356.0
PANORAMA_MED,212542.0
q_auto,211215.0
prodotti,206214.0
browse,205036.0
cronaca,204835.0
947295,204344.0
settimana-della-lingua-siciliana-presentate-le-iniziative,204344.0
items,203482.0
2016,202588.0
2013,201251.0
947275,199020.0
