key,value,key_count,value_count,
ver,0,14114356,322096,
page,1,13164460,5641700,
w,100,12004334,1166137,
url,,11854496,856377,
id,ugc,11672158,49156,
q,0٫75,10659907,2670949,
p,1,7707369,539799,
f,3%3A2,7685149,2560214,
title,Spesiaal:Teken_in,7006050,325716,
utm_source,dlvr.it,6612976,1111943,
action,edit,6364450,1835070,
hl,it,6345925,863891,
utm_medium,twitter,6097850,1260222,
t,2,5402881,407609,
l,0,4592360,291174,
utm_campaign,Share,4476202,274841,
v,1,4166597,708973,
format,xml,4164010,2164143,
ie,UTF8,4133320,3948908,
cid,SLink,4038485,316285,
auto,format,3934215,2761334,
fit,crop,3925811,3054793,
rh,n%3A411663031,3780092,2084,
s,type,3550777,125874,
tab,activitystream,3538320,1671857,
next,,3450738,156431,
lang,en,3221575,321403,
ixid,M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3188736,190660,
type,all,3177975,502781,
ref,pagination,3153632,508724,
ixlib,rb-4.0.3,3114660,2544270,
width,640,2988178,358305,
from,listing,2912754,401558,
a,1,2820682,168491,
sort,Prezzo,2813033,437870,
filter_id,103,2812917,2234,
_,_,2758379,90563,
modules,SEARCH_REFINEMENTS_MODEL_V2%3Afa,2561447,2218104,
locale,en_US,2294797,515940,
u,,2226806,5233,
pageci,2d23973c-b92c-4aa7-8450-fd33d0ed3726,2218636,30,
h,450,2217515,157677,
d,1582627479,2161884,197734,
fmt,webp,2153113,2027982,
utm_content,creditCopyText,2004373,65588,
year,2021,1958994,392375,
_aspectname,aspect-Marca,1941335,219600,
returnto,Spesiaal%3AGlobalUsage,1932757,428320,
month,10,1913895,134807,
userid,,1907255,2899,
day,20,1859520,56038,
area,1,1840491,729946,
clr,black,1835831,208266,
ts,10,1824924,21200,
returntoquery,action%3Dedit,1795765,17488,
height,272,1663560,186900,
td,ltr,1616313,1611056,
source,jetpack,1615622,493092,
styleid,0,1611371,1386331,
sheet,userprofile.css,1611270,1386330,
target,File_talk%3AArtcile-decision-tree.svg,1607557,207272,
amp_client_id,CLIENT_ID(_),1602712,1595764,
mweb_unauth_id,{{default.session}},1595847,1594052,
uselang,en,1574087,370937,
do,media,1566039,1071371,
room,2,1555353,232589,
p_p_id,1_WAR_miurmulticategoriesnavigator100SNAPSHOT,1553241,1169528,
p_p_lifecycle,1,1551905,1347327,
p_p_state,normal,1548345,1529386,
p_p_mode,view,1544354,1544313,
bbn,4695049031,1513335,323558,
n,0,1465998,294027,
crop,entropy,1445431,394918,
cssuid,0,1384850,1384850,
tag,1,1361097,65504,
i,0,1347121,240146,
tipo,notizia,1345300,655820,
referrer,twitter,1328997,439547,
article,,1317243,4440,
image,search,1296627,10639,
storeid,9359,1287666,51826,
rt,nc,1284930,1154025,
tipologia,47,1278808,207044,
op,1,1275247,26807,
tags,indirizzo,1269611,69138,
sid,,1259528,36345,
o,asc,1255404,246506,
parent,,1247965,42914,
order,desc,1247300,323562,
language,en-US,1214552,305801,
ns,,1142596,31379,
dept,women,1140765,857170,
utm_term,objective-stream,1134549,342172,
aid,304142,1125450,422508,
itok,W67wY4vJ,1115200,30,
_fsrp,0,1109270,1108945,
preselect,delete,1106936,395460,
rev,0,1093507,2672,
b,6203,1083433,87835,
m,infinite_scroller,1079252,292133,
tab_details,view,1062953,712272,
tab_files,files,1060223,822832,
contratto,Affitto,1054745,318894,
$p$f$h$w,e6021db,1016631,167970,
modal,true,1000265,996184,
SearchQuery,,999658,961149,
suitability,pets+considered,995547,464953,
brands,adac,991564,1133,
logindest,www.thesaurus.com,982616,419235,
quality,75,968857,664613,
p_r_p_categoryIds,1177053,966674,58,
categoria,Residenziale,964259,139819,
c,,960870,86785,
sort_by,score,954272,284360,
spoint,manage,940851,940399,
cb,0,906275,209530,
redirect_url,,901194,178015,
r,US,899349,170430,
_Lang,en,894916,186162,
_Choix,GS,889734,423862,
pos,HCOM_US,889282,425986,
user_id,0,883325,99001,
start,0,878299,358982,
placement,above_biz_review,869995,277829,
lat,47٫5584,867422,246622,
ad_business_id,iTaZOb3u2VD2hXYZ72J1HQ,862447,1330,
origin,https:%2F%2Fstore,860971,457410,
query,,853713,300370,
apikey,5838a18e295d,853508,657256,
uri,,850036,76355,
click_origin,read_more,849460,283448,
colourWayId,0,841224,3352,
label,r2r05,838614,9706,
iid,cnn_buildContentRecirc_end_recirc,837686,1092,
ca,11_s,829857,446636,
pn,1,827121,421184,
signature,69C5F9146730B264AE1883D3B09A2136C67DDF82458A4C4BF9BD498F13167773,825306,83,
request_id,5adebafa8f49b9d6,823940,45,
campaign_id,QvtCm9YOfuqWCilPUcmglQ,822817,4232,
sig,ACfU3U2R0laICSHSvosfd2Qy-uM_l9yiaQ,821026,80,
hour,9,818285,92278,
returnurl,,792316,35388,
lon,7٫57327,789810,246608,
slot,0,786944,384157,
limit,100,784874,167681,
section,post,777936,57623,
view,collapsed,777570,105190,
login,1,772409,673204,
post_id,false,769657,3661,
cc,US,765175,52253,
dns,dolly-parton,763424,3023,
blog_id,9٫58154488665899E+017,761359,2048,
minute,0,757299,546512,
amp,referredBy,https%253a%252f%252fmarketplace,754971,754971
more,t,749914,547356,
report_url,adamfitzgerald911,728635,36823,
callback,Reuters.marketHeader.callbackInit,723294,83582,
T,FFFFFF,718676,379707,
pge,0,715408,381359,
sez,PRIMOPIANO,707162,70624,
placement_slot,0,705347,321203,
city,Basel,700876,65918,
content,projects,690416,297257,
winddirection,3char,688053,658070,
windspeed,kmh,684018,609545,
cs,tinysrgb,678773,383667,
_Langrech,en,672060,104732,
browsefilter,trend,671711,381116,
tz,Europe%2FZurich,668182,251183,
tr,n-scene_128,667283,68578,
asl,279,666971,249188,
iso2,ch,664884,251059,
prefer_site_type,mdot,661797,331181,
temperature,C,656409,609568,
facets,news-all,652875,1858,
precipitationamount,mm,652306,609568,
look,KILOMETER_PER_HOUR%2CCELSIUS%2CMILLIMETER,647019,489882,
ffref,hd_lidd_so,646440,4848,
P,APC,644174,143640,
idnet,dHV0dG9tZXJjYXRvd2ViLmNvbS0xNTk3MTA4,630339,36,
clang,it,627260,20608,
mode,quote,626309,98384,
pgesize,72,596111,288053,
input_protobuf_encoded,,592885,11,
pag,2,592352,242444,
app_id,140685,592210,580137,
search,,584007,57693,
Id_Lote,167577680,583835,10,
$p$f$w,0f506f0,573552,209096,
body,1,556203,2777,
sa,X,554676,418431,
location,ITA,546686,293608,
ID,1010,540051,8467,
share_time,1716324407000,539112,12,
s_t,AATAFOVS.DownTheSeriesOfTubes,538707,1,
VRIC_pag,20,536222,32998,
property+type,house,534046,21629,
hrid,m-sLMnCfmCt-NaPLmgImxw,533474,1144,
days,30,527417,147363,
amp,1,523683,381486,
lookup,vault1,522256,522207,
local,XPdQnn,522209,179,
leg,17,521590,139636,
location+type,lakefront,519193,99974,
srch,0,518795,157731,
productId,1016,518023,17125,
ct,66,516333,155065,
gridsize,4,514427,290448,
totalstyles,100,514368,2347,
rpp,10,511400,288566,
sh,0,509830,273430,
vgdc,HAUK,509751,146449,
preferlocale,true,504854,504849,
pid,businessinsider,503956,18410,
returnUrl,forums:80,503528,54459,
sortdir,0,501782,418290,
uuid,,499496,10513,
redirect,,498046,133266,
region,Lower+300x250,497746,137034,
qt,MeaningQuestion,488180,77630,
idd,0,487394,42924,
src,socialflowTW,484392,76536,
md5ChecksumParam,926750045dc7ebd482a3a49385579c35,482677,4712,
click_key,944f028c6e9d2cba1b4e4e3a69f37cdfab9456ca%3A1451427441,480706,95,
iframe,1,480380,463010,
click_sum,3590920b,477754,95,
imageid,,477220,122,
ved,1t%3A200715,474708,3087,
managed+by,PropertyManager,474608,246633,
_Keyword,,473100,2831,
method,deezer.getUserData,471024,89618,
C,0,471023,379707,
simplified,true,470283,470278,
I,,466306,394040,
ijrh,96092548761427,466177,51,
sca_esv,cffb14c57240920f,465125,10664,
img,1,463632,266420,
version,1,462635,100136,
dgv,,460982,18,
bust,adv_gda_virgilio,460704,408,
etal,0,459151,288587,
tipodoc,Resaula,458087,70768,
music_url,beautiful,454988,51,
cas,,452433,148,
idtmw,874025,451842,64,
a1,m0GG0c0I0,445282,93945,
a2,_-,445122,70296,
f%5Bauthor%5D,1,444948,6611,
cat,1,443935,66922,
D,a,436272,311486,
libera,,433998,3582,
pay,0,428046,310917,
gl,it,427383,404596,
dpr,1,424586,346947,
F,newyorktv_050316,422002,79296,
searchtype,0,417828,359420,
IR,T,415626,411192,
linkCode,sl1,415045,178532,
fm,jpg,410906,394304,
filter,all,396968,68928,
_Secteur,,396835,17944,
lid,22,395881,49566,
requiredtags%5B0%5D,english,393721,25550,
clientId,ZW5fX05FWFQ-,390454,118922,
siteid,300000025,389990,224204,
Start,1,385984,114580,
utm_hp_ref,italy,384798,100119,
zoom,1,384129,146786,
Count,30,380111,270135,
psc,1,379764,378527,
skin,vector,379720,157862,
_csrf,2Q74E1832K54QPORCM6V3CS87T48RTY5,378451,66,
time,all,374560,62367,
impolicy,crop,373887,356383,
idarticolo,284782,373102,277,
cl,1,373084,326446,
fmsection,alleyinsider,369338,70106,
S,Vero,369107,31895,
item_id,688853505,368834,395,
groupname,Main,368330,151278,
cp,0,367144,259519,
line,1,366979,6081,
client,gws-wiz-serp,366888,149777,
im,Resize,365878,359997,
interpolation,lanczos-none,365579,365579,
slide,1,364929,36982,
amenities,fireplace,363968,87096,
st,0,363878,93738,
item_type,album,361965,186525,
_Zone,IT,361384,61672,
pl,1,359370,9370,
stamp,2,355888,304031,
voto,0,354147,111752,
goto,hotdetails,350476,203538,
from_sharekit,true,350128,350128,
pagesize,15,348062,97523,
_Locality,New%20Delhi,344282,6097,
smtNoRedir,1,338798,338788,
amp%3Bf%5Bauthor%5D,146,338063,17257,
pv,1,335583,309705,
uid,,329160,3087,
name,CaricaOggetto,328201,16809,
eapid,366-8,326046,104450,
photo,1,320805,5979,
auid,Right1,318279,135340,
c.vertical,sai,318142,53305,
c.author,Joe+Weisenthal,317718,7282,
oggetto,0,317535,1917,
c.page,post,316629,207739,
c.tag,goldman,316536,4295,
purchase,1,316132,316120,
purchaseid,00000208-894e-0201-c5e0-571558580850,315829,43,
rbs,,315537,3282,
autoplay,true,315241,185297,
ei,356510,314913,355,
event,pageview,314519,308958,
openid.return_to,,314105,9215,
amp%3Bamp%3Bf%5Bauthor%5D,1,314057,67034,
amp%3Bamp%3Bo,asc,313261,313261,
f[0],hotelfacilities%3A1,313137,8520,
gravity,Center,310446,310446,
gridrow,1,309810,24823,
gridcolumn,1,309769,80523,
page_src,related_bizes,309384,173569,
orientation,0,308671,304147,
amp%3Bamp%3Bs,title,308179,296416,
