value,key,value_count,key_count,
1,page,36435000,5641700,
0,styleid,22288937,1386331,
,SearchQuery,18326958,961149,
2,page,9716395,2332029,
true,modal,6498099,996184,
3,page,4673225,741295,
UTF8,ie,4062313,3948908,
crop,fit,3485752,3054793,
5,page,3182471,385875,
webp,fmt,3104568,2027982,
format,auto,2959654,2761334,
4,page,2885175,465761,
it,hl,2856526,863891,
view,p_p_mode,2784644,1544313,
0٫75,q,2671091,2670949,
60,q,2663669,2350620,
3%3A2,f,2560222,2560214,
rb-4.0.3,ixlib,2547018,2544270,
en,uselang,2422733,370937,
twitter,utm_medium,2408941,1260222,
edit,action,2313704,1835070,
10,rpp,2220594,288566,
SEARCH_REFINEMENTS_MODEL_V2%3Afa,modules,2218104,2218104,
xml,format,2173429,2164143,
false,is_phone,1810651,201118,
normal,p_p_state,1694708,1529386,
100,w,1694002,1166137,
activitystream,tab,1671857,1671857,
ltr,td,1611343,1611056,
CLIENT_ID(_),amp_client_id,1595764,1595764,
{{default.session}},mweb_unauth_id,1594052,1594052,
7,page,1583252,202014,
read,action,1521479,1517792,
userprofile.css,sheet,1386330,1386330,
6,page,1354001,268507,
30,Count,1331055,270135,
8,page,1311887,168875,
equals,filtertype,1262617,251766,
16x9,f,1231312,1229897,
16,w,1230700,452650,
9,page,1190484,130654,
1_WAR_miurmulticategoriesnavigator100SNAPSHOT,p_p_id,1169528,1169528,
20,rpp,1166509,205359,
nc,rt,1154664,1154025,
dlvr.it,utm_source,1117038,1111943,
all,type,1103677,502781,
media,do,1083568,1071371,
json,format,1024612,970697,
11,month,1016967,126946,
-1,sort,949795,281498,
12,month,941689,132580,
manage,spoint,940476,940399,
t,more,937305,547356,
15,pp,929973,108592,
fr,lang,915261,213294,
de,lang,913222,230009,
https%253a%252f%252fmarketplace,amp,referredBy,904884,754971
14,m_ENE_gender,885471,136038,
es,uselang,883603,198709,
women,dept,859079,857170,
C,temperature,841557,609568,
75,quality,838720,664613,
files,tab_files,824501,822832,
desc,order,778528,323562,
en-US,language,777131,305801,
asc,amp%3Bamp%3Bo,773904,313261,
subject,filtername,755984,122162,
16%3A9,f,755142,754590,
18,fi,745876,89820,
50,limit,728024,149444,
1200,w,689142,555656,
17,leg,665392,139636,
notizia,tipo,662656,655820,
300,width,658945,277888,
3char,winddirection,658070,658070,
5838a18e295d,apikey,657256,657256,
en_US,locale,639169,515940,
80,q,637974,416460,
mm,precipitationamount,636378,609568,
kmh,windspeed,628215,609545,
13,hour,621932,64006,
social,utm_medium,619739,557737,
http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select,openid.identity,603829,301600,
jpg,fm,595661,394304,
140685,app_id,580177,580137,
72,pgesize,579721,288053,
pagination,ref,540516,508724,
640,width,537685,358305,
partner_linkfire,utm_source,525038,525028,
post,c.page,522476,207739,
vault1,lookup,522207,522207,
US,r,518462,170430,
rb-1.2.1,ixlib,500485,499803,
jetpack,source,493156,493092,
KILOMETER_PER_HOUR%2CCELSIUS%2CMILLIMETER,look,489882,489882,
feed,utm_medium,487940,431111,
Twitter,utm_source,479690,435163,
720,w,479364,356170,
32,w,474384,320501,
25,min,469411,78256,
trend,browsefilter,468088,381116,
search,output,467841,179032,
pets+considered,suitability,464953,464953,
64,w,464515,308142,
A,servizio,464413,184592,
referral,utm_medium,461019,419103,
X,sa,458911,418431,
www.thesaurus.com,logindest,458432,419235,
title,amp%3Bamp%3Bs,457612,296416,
https:%2F%2Fstore,origin,457410,457410,
2021,year,457023,392375,
letras,page,454960,454950,
200,width,454876,163148,
nl,uselang,453263,198285,
T,IR,448188,411192,
11_s,ca,446637,446636,
304142,aid,446353,422508,
it_IT,language,445512,215238,
history,tab_details,444655,327688,
48,w,438148,308335,
Prezzo,sort,437994,437870,
22,dlid,432356,110522,
Spesiaal%3AGlobalUsage,returnto,428360,428320,
Original,utm_medium,427361,427111,
2020,year,426223,367824,
HCOM_US,pos,425993,425986,
GS,_Choix,424076,423862,
FFFFFF,T,415259,379707,
listing,from,409546,401558,
user,type,404788,397018,
friends,type,404763,395867,
photos,type,401336,398982,
delete,preselect,398055,395460,
entropy,crop,395013,394918,
Speciale%3AUsoGlobale,returnto,394635,394629,
1000,w,393500,260432,
96,w,392851,342778,
250,height,390202,165603,
download,action,388416,363351,
author,type,386255,102637,
a,D,385466,311486,
tinysrgb,cs,384874,383667,
128,w,380652,343608,
no,parse,379867,77432,
it-it,hl,378698,374397,
40,start,376544,78779,
articolo,p,376217,184340,
1024,w,375686,266305,
19,day,374468,53957,
256,w,373808,345340,
2019,year,373418,272902,
CN,_Choix,370302,344280,
max,fit,367469,353976,
ITA,location,367322,293608,
lanczos-none,interpolation,365579,365579,
Resize,im,359997,359997,
36,pgesize,347638,202828,
210,width,345668,320827,
m,from,342391,139046,
objective-stream,utm_term,342183,342172,
24,day,342087,54541,
90:65,*,crop,341221,341221
around|90:65,fit,341221,341221,
21,day,341029,55325,
Y,x_popup,336734,195401,
share,utm_source,335192,177967,
2022,year,334793,281766,
pageview,event,334298,308958,
31,height,332709,114444,
mdot,prefer_site_type,331184,331181,
reputationchange,sort,331062,331061,
tdot,prefer_site_type,330616,330615,
Spesiaal:Teken_in,title,325717,325716,
default,f,323976,151331,
en_IE,locale,323775,291605,
4695049031,bbn,323568,323558,
en-GB,lang,323518,228566,
500,limit,321840,141457,
USD,locale_currency_code,319757,122867,
Affitto,contratto,318899,318894,
SLink,cid,316286,316285,
6198092031,bbn,316099,315781,
Center,gravity,310462,310446,
infinite_scroller,m,310100,292133,
fanthanks,from,309026,309026,
750,w,309001,288495,
projects,content,305958,297257,
tr,_Lang,305752,64770,
checkid_setup,openid.mode,305683,305231,
http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,openid.ns,304288,303868,
375,width,300084,142391,
top,tab,299508,179069,
pt,lang,296601,79964,
67403,boardID,294247,294164,
28,day,293515,53984,
accounts,tab,292909,292895,
47,tipologia,292693,207044,
single_module,p,292514,292514,
black,clr,291040,208266,
1,api_version,290258,237124,
Vendita,contratto,288672,288568,
score,sort_by,286638,284360,
3840,w,285993,252153,
sdt,etsrc,284539,284537,
web,utm_medium,284408,70853,
23,day,283609,55465,
read_more,click_origin,283476,283448,
above_biz_review,placement,277829,277829,
Share,utm_campaign,275078,274841,
itflex,openid.assoc_handle,274399,268295,
360,w,272990,208156,
2018,year,272634,194066,
Spesiaal:SkepRekening,title,271797,271797,
800,w,270062,244700,
header_thes,source,266398,266398,
english,l,266227,176934,
ASC,sort_by,264442,127728,
price,_aspectname,263231,197755,
desktop,device,262398,109003,
ch,iso2,259655,251059,
279,asl,259381,249188,
ru,lang,259190,77092,
slideshow,c.page,258355,108354,
column-1,p_p_col_id,256917,256871,
90,height,253392,53365,
N,sa,251647,66249,
3%3A2%2Csmart,crop,251517,251517,
Europe%2FZurich,tz,251185,251183,
article,view,251034,56435,
Spesiaal:Captcha,title,249430,249430,
business_name,click_origin,249369,249369,
affiliate,utm_medium,247885,205525,
06%252F01%252F2008,minDateAdded,247327,247327,
123,w,246808,217865,
PropertyManager,managed+by,246690,246633,
47٫5584,lat,246622,246622,
